Gene	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	Ctrl6	Ctrl7	Ctrl8	Ctrl9	Ctrl10	Ctrl11	Ctrl12	Ctrl13	Ctrl14	Ctrl15	Ctrl16	Ctrl17	Ctrl18	Ctrl19	Ctrl20	Ctrl21	Ctrl22	Ctrl23	Ctrl24	Ctrl25	Ctrl26	Ctrl27	A01	A02	Lag10	Lag12	Lag14	Lag21	Lag28	Lag30	Lag32	Lag35	Lag40	Lag43	Lag63	Lag65	Lag66	Lag69	Lag71	Lag72	Lag75	Lag78	Lag79	Lag81	Lag84	Lag85	Lag87	Lag89	Lag91
HV320	12.3106	13.7834	12.5981	13.1049	12.4993	11.5265	11.7056	9.55075	14.1517	13.7099	13.8238	12.4742	13.6883	13.5746	14.4252	11.9366	13.3581	14.0785	13.2378	12.6257	13.5142	13.5864	13.2061	12.6393	13.1082	12.6817	13.0049	12.7377	13.1846	13.8337	13.2015	13.7628	14.1437	12.1861	14.183	12.7875	9.32868	13.2805	12.0154	12.6119	13.412	14.183	13.8138	13.7936	13.9658	13.7207	14.1984	14.1115	13.9106	13.0701	14.5507	13.9293	14.4186	12.6595
PROF1	11.8572	5.47032	8.51964	9.07414	7.84103	10.3772	10.5793	10.3987	8.76155	11.0293	8.3837	11.7566	11.2167	9.2854	12.0258	11.6073	9.2503	6.18934	8.87037	8.96867	10.7566	8.74147	6.37186	7.89482	5.04169	6.10118	6.27827	11.9256	10.3554	11.6119	10.1674	12.8784	11.6165	4.57405	9.61287	9.65821	10.9069	10.42	10.0901	5.15334	11.1163	13.0951	9.91289	8.07682	9.84078	11.4512	11.6883	7.73471	12.1163	7.41785	10.3987	5.58415	8.91886	9.33092
ZN185	6.64561	10.7398	12.9676	13.8238	11.7524	5.95585	7.40536	6.43531	11.0498	12.7334	6.61828	8.64024	11.0498	12.3219	11.9979	9.01681	5.56897	12.6662	13.2571	14.0362	10.4717	5.25644	13.9476	6.14946	13.0566	4.76232	12.1984	6.42123	12.3745	10.5699	13.4767	11.2228	12.6991	6.10573	12.2527	11.8455	5.35763	14.2213	12.9694	5.14927	12.2992	13.3304	12.7607	5.24255	13.3987	13.4893	12.8078	13.6991	13.8138	13.0189	9.35535	9.69174	12.8823	12.5265
SPB5	11.4818	6.09445	6.91886	7.57743	7.74925	9.07682	8	7	5.96982	11.0967	9.23601	9.92333	12.0668	10.388	10.6707	9.29232	8.84235	10.1674	9.38802	10.8455	11.0224	6.77469	7.67243	9.50383	4.23149	6.43296	7.3837	11.4357	11.5068	10.3219	11.5314	11.7313	11.1421	6.30187	11.2644	10.0224	7.74819	11.0154	10.2167	5.10033	4.20079	14.1674	6.26405	5.79108	11.7731	12.8277	12.1453	6.41867	12.6371	6.51737	12.7895	6.98126	10.1548	8.54689
1433B	9.02791	7.64386	10.0901	9.17493	5.32188	8.71425	11.6926	7.22882	8.98299	10.4615	8.60363	12.0258	13.0934	10.2527	11.697	11.2527	6.70044	8.61471	8.17991	10.4305	10.9801	5.90017	5.16796	7.40088	5.3654	7.70736	10.0224	10.6257	11.7731	10.4094	10.3332	13.4512	11.1033	7.12928	9.33092	9.3015	5.45499	10.7814	12.1196	8.45943	11.2228	14.3853	7.91886	5.09379	10.5118	12.6371	11.2408	6.59393	13.1469	6.01659	10.8765	7.67243	8.55075	10.3554
ZG16B	15.92	15.6745	16.3735	14.9522	16.7073	16.0617	15.412	15.6773	16.2382	14.8435	16.1655	15.7046	15.4576	15.9316	16.2493	12.7142	15.6883	15.1752	15.8312	15.6495	15.7602	15.392	15.8037	16.0469	15.4736	15.6579	17.2326	15.7126	15.3304	16.253	16.4956	16.0806	16.4285	15.601	15.3443	17.1946	16.0469	15.4767	15.5597	15.9815	16.6096	15.68	16.5204	16.3145	15.6154	15.6467	15.3233	15.5296	15.8846	16.5981	15.4831	16.5908	15.601	15.846
TGM1	9.11114	6.76845	5.59051	8.40514	5.785	6.16495	7.48382	6.02159	8.34873	7.92617	6.83289	7.08636	7.42034	10.9293	9.49386	6.64386	7.15987	8.19967	6.32173	8.03342	7.25739	5.35677	7.24793	5.51594	7.59246	6.98868	6.60309	6.78152	9.32193	10.1293	8.56986	9.3015	8.75822	6.97728	7.96	8.49586	5.69324	8.98299	6.80516	6.59395	6.90622	7.59246	7.668	6.76818	7.96	8.69349	7.27612	7.41663	8.77479	5.81944	6.90689	7.57743	7.70736	7.50779
TBB4B	5.89874	6.28784	7.98868	7.72792	6.80835	8.84862	8.74483	7.56986	7.05528	9.93369	8.40088	9.14211	10.7228	9.09276	10.1674	6.24603	8.30378	8.38802	8.11374	9.16239	8.79442	5.86908	5.98937	8	5.84678	7.3262	8.15482	9.39232	9.9263	8.81057	10.1033	9.03067	9.93369	5.10734	9.03067	8.52748	7.63662	8.89482	9.98014	5.53177	7.75489	11.6926	5.90534	6.72792	9.57554	10.7566	10.42	8.24317	10.5118	5.79694	10.7056	6.0983	7.2384	8.19967
VINC	9.33092	10.9144	9.5216	9.7039	9.58684	10.1163	10.4615	8.80735	11.0084	10.5507	10.2992	9.95274	11.3387	10.5887	11.4252	10.0901	7.39232	10.1163	10.1674	10.1421	10.7228	9.63662	9.76653	9.90989	10.1163	7.71425	10.0901	9.70217	11.1228	10.6073	10.0901	11.6439	11.4615	9.31061	10.5314	10.1548	6.42459	11.1861	9.79279	10.1674	10.7731	12.5216	10.2288	9.40301	10.5118	11.2348	11.0084	10.3219	10.9873	9.76818	10.5793	9.62205	10.8688	9.99435
SAP	14.0014	13.8337	14.7046	12.9837	15.5356	15.1236	13.6773	15.5746	14.0362	14.2213	14.8775	14.1033	14.4252	14.768	14.1908	11.6795	14.2363	13.9293	14.5746	15.0617	14.8037	14.3987	14.6937	14.4383	15.2696	15.435	14.8965	14.3233	14.1596	14.4318	14.7471	14.3021	14.2363	15.2288	14.8727	14.7366	14.6495	14.2586	14.9246	14.6937	15.1984	13.9837	14.887	15.6039	14.4186	14.9837	13.9293	14.8582	14.6154	15.3615	13.9837	15.3304	14.392	15.3512
HSP7C	10.4818	9.23601	8.60733	9.40514	9.99435	11.7013	11.6883	10.6348	9.42836	12.3387	11.2288	11.8842	13.3304	11.1098	12.9256	11.9658	9.89178	10.0901	10.7142	11.8017	11.2992	9.61287	10.3106	9.86728	9.93958	9.34873	11.3387	11.3772	12.4969	11.3608	12.2615	12.4919	12.5746	9.67419	11.8218	10.4818	9.71081	11.2167	12.6188	8.95128	10.1033	14.5507	9.95565	9.20945	12.1984	13.3581	12.7292	9.85487	13.5627	8.83605	12.8533	9.66534	10.2408	10.5887
PGM1	8.11374	9.57932	10.7566	9.55075	11.0634	9.64746	9.81218	10.2527	10.6165	9.224	10.2877	10.6165	10.5314	10.4512	10.0901	8.0607	10.3987	9.47776	10.3332	10.5887	9.99435	10.1421	10.1421	10.2046	10.7056	10.7142	11.4512	9.76155	10.0634	9.9629	10.0634	10.4919	9.56415	10.3554	9.80574	10.8994	10.9944	10.1799	10.944	10.1163	10.9069	10.6618	10.9144	10.3554	10.0362	10.388	10.1799	10.5216	10.2877	10.6528	9.36632	10.3663	10.6528	10.8057
IGHA2	14.2659	15.8965	15.6467	16.2344	14.92	15.8435	14.9106	14.9476	16.3667	17.0211	16.2622	15.5296	15.0014	15.5204	16.6096	14.6662	15.8361	16.6382	16.0319	15.4925	17.4815	15.7961	15.7961	16.1927	15.4054	15.9106	16.2194	15.4186	17.0102	16.5981	16.1457	16.7207	17.0743	15.3092	16.2251	15.4285	14.2363	15.9385	14.8238	15.8775	16.7987	17.1752	16.5966	15.7706	16.3391	16.3937	16.1655	16.6024	16.2805	15.5951	15.7207	15.4799	16.1596	15.9036
RTCB	10.9801	11.4512	11.5934	11.8337	12.0049	12.1325	11.9513	12.4147	10.6707	11.9979	11.8572	12.279	11.2761	12.1325	11.6119	10.1163	12.1228	12.1954	12.2015	12.1228	11.3219	11.9256	11.8017	11.7566	11.9873	12.1706	11.2992	11.9694	11.0566	11.7566	11.3219	10.7566	11.6707	12.1131	11.5314	12.0701	12.2438	11.8918	12.0189	12.158	11.0768	10.4615	11.5793	11.9908	11.7566	10.8842	11.4919	11.3049	11.2527	11.5555	11.3049	11.8138	11.2819	11.7773
PSA	6.26218	9.38154	9.42206	9.57365	9.7211	9.68475	7.82018	7.14974	8.11374	9.84706	9.25974	7.14975	10.2761	6.18046	9.50184	9.02237	6.02381	9.53138	9.44915	9.35094	9.57175	5.63844	9.56796	7.8392	10.2408	5.45124	5.93296	10.0224	10.5216	8.53138	9.35315	10.5887	7.62936	8.15482	9.85019	5.37234	6.89888	10.7649	8.02791	9.07948	10.1548	12.1033	8.56224	6.83289	10.2408	9.85487	10.5314	8.33539	11.1163	10.0634	9.90539	5.55249	6.83905	9.06609
KCRU	11.5555	10.2877	11.1611	10.8765	11.697	10.3987	11.1548	12.2076	10.9366	11.0967	11.2408	11.6839	12.1033	12.1737	10.9144	9.93074	11.8803	11.6839	11.4357	11.7228	11.42	12.464	11.7607	12.0362	11.3772	11.5265	11.4919	11.8178	11.2348	11.3106	10.5118	10.9658	12.0049	12.158	11.2877	11.9513	12.2348	11.9979	12.1066	11.5167	10.9069	11.8017	11.9766	11.3987	11.4868	11.4564	11.9031	12.3078	12.2198	12.0498	10.388	11.3332	11.5887	12.0901
ACTC	10.2992	9.69523	11.3718	9.85331	9.26679	12.4893	13.5627	11.9658	12.0119	12.7207	11.4147	13.7628	13.4512	12.0396	13.4252	12.769	10.9366	11.0154	11.0901	11.3106	12.7121	9.61471	9.633	10.6528	9.15482	10.0498	12.0327	13.3304	13.3304	12.8017	12.8376	14.5204	12.6506	9.72962	12.1611	11.3772	10.1799	12.3554	12.5887	8.49985	13.1244	14.768	12.1261	10.4512	12.0868	12.8611	12.9031	10.3554	13.0634	10.0362	12.7356	10.3332	11.0293	11.0293
FDSCP	9.7039	9.67066	7.62936	6.45596	8.07146	8.76487	7.5157	9.60363	7.04493	8.39232	4.66663	9.05257	7.42016	8.93958	9.65285	6.64807	10.5314	8.12412	8.72451	8.90989	10.1033	5.69842	8.96578	10.388	7.44294	4.65763	7.98868	8.94544	7.69349	9.65642	8.08746	8.25739	6.04741	10.3443	10.9944	8.87652	10.1548	8.9542	11.3276	10.42	9.79928	10.1163	6.88828	10.42	8.58496	7.79144	9.85643	5.26406	10.0084	10.7895	7.00747	4.57508	7.59246	9.45121
WDR1	6.73517	7.94251	5.46639	5.78851	6.31414	8.33985	8.53138	6.994	8.13443	8.36632	9.62753	10.2527	11.0901	8.75154	11.1293	10.2046	7.85798	7.33985	6.12135	5.70879	9.23362	8.14466	5.33183	6.19718	6.05903	9.20701	7.6865	9.77149	10.0362	8.62205	10.3987	11.2586	9.04985	5.47177	9.77479	5.02277	8.94544	8	7.65821	3.26425	7.62936	12.605	7.93664	8.55075	9.40939	11.4512	10.7482	6.48547	10.6795	6.89792	10.8455	7.85798	8.09803	5.92274
NEUS	10.4615	10.3987	10.9513	10.6348	11.8138	11.3987	11.6618	11.5981	10.4409	10.1163	12.1548	10.8218	10.2408	10.9873	10.4409	6.60779	11.1984	10.1033	11.3934	10.8688	11.8727	11.4041	10.9366	11.4305	11.4147	12.1131	10.1923	10.5887	10.4919	10.5118	10.4512	7.67243	7.96578	11.5555	9.11114	11.6484	11.8572	11.2348	11.2703	10.2761	10.9366	9.82177	11.3443	11.6027	10.388	8.20945	11.1611	10.1799	8.97441	11.5555	10.1548	11.7773	10.6795	10.9944
XDH	12.0224	13.1066	12.1	12.4357	11.9837	12.1737	11.3049	10.6257	11.9181	12.6027	12.2761	10.3987	11.8218	11.2586	12.5018	11.1611	11.7271	12.8572	12.7377	11.9031	13.2761	11.4868	12.3826	12.1293	12.1357	10.8297	12.1706	11.5411	12.6096	12.888	11.9031	12.5314	12.4691	11.7895	13.158	11.2819	9.81378	12.2107	12.3021	12.6188	12.8037	12.7056	12.1954	11.9944	12.9694	12.1923	12.3799	12.6096	12.5555	11.8533	13.1799	11.1861	12.8218	11.9366
GSHR	10.5411	8.78463	8.40939	5.84787	9.17493	10.2408	7.65821	9.44294	7.35755	11.4305	9.73978	6.93074	11.2046	8.80413	11.9622	10.1033	7.19967	9.74147	9.30378	10.9366	11.0835	5.97362	9.06878	10.3219	8.60733	8.03342	9.33316	10.5018	10.6165	10.8297	11.2348	8.64024	8.85175	7.00105	10.0224	7.98299	7.90087	10.2761	11.1098	9.35975	8.35755	13.2805	8.60733	8.23362	11.1098	12.5435	12.9181	8.70736	10.6707	6.82646	12.0835	7.88264	9.19967	9.3837
CATB	13.3163	13.8337	13.3581	12.0498	14.5805	13.412	12.4383	14.5864	13.6211	13.3163	14.3512	13.2438	13.4893	13.7099	13.6551	10.8218	13.2137	13.3021	13.4383	13.9926	14.1277	13.8337	14.2805	14.5687	14.6211	14.0701	14.7576	14.0617	13.3987	13.3987	13.1082	14.0868	14.2438	13.6325	13.5746	14.0014	13.7936	13.92	13.7419	13.7313	14.2732	14.1517	13.7419	13.9567	13.9837	14.2213	13.0851	13.6662	14.2512	14.2512	13.4893	14.7366	13.8727	14.2363
