Gene	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	Ctrl6	Ctrl7	Ctrl8	Ctrl9	Ctrl10	Ctrl11	Ctrl12	Ctrl13	Ctrl14	Ctrl15	Ctrl16	Ctrl17	Ctrl18	Ctrl19	Ctrl20	Ctrl21	Ctrl22	Ctrl23	Ctrl24	Ctrl25	Ctrl26	Ctrl27	A01	A02	Lag10	Lag12	Lag14	Lag21	Lag28	Lag30	Lag32	Lag35	Lag40	Lag43	Lag63	Lag65	Lag66	Lag69	Lag71	Lag72	Lag75	Lag78	Lag79	Lag81	Lag84	Lag85	Lag87	Lag89	Lag91
CAPZB	12.1954	10.7228	11.3718	8.17493	10.3443	9.49985	10.0224	9.45533	9.90539	10.1033	9.9629	11.0224	11.1548	10.9144	11.1357	9.52943	10.0084	10.1799	10.6707	10.8611	10.6528	10.4409	10.1799	10.4512	9.55842	10.4615	10.9293	10.1799	10.7566	10.8057	11.0967	12.0802	10.6257	6.3558	9.87958	11.0835	10.388	10.7482	11.0014	10.3332	11.0014	12.6096	10.0634	10.1674	11.0014	11.4409	10.4615	10.6348	11.6119	10.697	11.0084	11.0084	9.19476	11.1163
NUCB2	14.7366	14.1596	14.7576	13.8533	15.7911	14.2363	14.9431	14.4512	14.4704	14.0447	13.7628	15.0362	14.5567	15.3339	13.9385	12.3304	14.183	13.8823	14.9658	14.906	14.7524	14.7885	14.8037	14.8088	14.726	14.9882	15.1115	14.5627	15.1596	14.508	14.768	14.1752	13.1131	14.9339	14.0701	14.1674	15.5627	14.7576	15.3092	14.4252	15.3443	14.3163	15.2475	14.5627	14.4893	15.2099	14.1196	15.3819	14.2877	15.5981	13.9293	15.2137	15.0102	14.9748
IC1	11.3826	10.697	9.16491	10.1674	9.54496	10.7398	11.5018	9.38586	9.46148	12.1293	10.2046	10.9586	13.4512	9.15735	11.9256	14.1277	10.0224	9.60918	9.35315	10.0634	10.7977	9.27146	9.62936	9.81858	8.85175	8.49586	9.16239	9.66356	10.1799	10.5411	12.6004	11.6439	12.3799	10.6439	12.2288	8.84549	10.0224	9.62571	11.0154	8.97441	9.26679	12.2198	9.99435	9.94691	10.7566	12.7875	11.3106	10.8376	11.5118	10.5887	10.4919	10.0901	10.8218	9.80574
CYTB	8.5157	8.44708	8.92184	8.09803	5.43327	7.57743	8.36194	5.91103	7.60733	8.99435	8.41363	7.27612	8.90388	10.6439	8.45943	8.76155	8.14466	8.90388	8.68299	8.44708	7.67243	9.49586	9.2738	8.51175	9.05528	6.69388	8.90087	9.41151	8.10852	8.90989	6.54094	8.93074	8.76155	7.82655	8.94544	9.20457	7.47573	9.63844	8.64746	8.35315	8.38802	10.5216	9.99435	8.08746	9.60548	10.5018	8.36194	8.59619	8.69349	9.07146	8.3443	5.74802	6.01797	10.2408
CAND1	11.0634	11.0084	11.888	9.30606	11.4094	11.5887	11.4409	11.3106	11.888	9.72451	11.1228	11.3934	10.8057	11.2046	10.4615	10.5507	11.2527	10.8918	11.6618	12.0327	11.865	11.1293	11.7228	11.1737	11.2992	10.8376	11.9218	11.1485	10.9658	11.5887	11.3276	11.8098	6.25028	11.7099	11.2992	11.2703	10.8057	10.6257	12.464	11.7271	12.4435	11.5314	11.7977	11.2288	11.4767	7.76155	11.5793	10.5118	10.0498	11.6528	8.07682	9.99435	10.8138	11.5362
LV302	13.6211	14.1196	11.8727	14.3581	10.973	13.0651	12.2848	13.412	13.4512	13.5507	13.6883	12.5746	12.4067	12.2408	13.9567	12.1643	12.2467	13.5265	13.7731	13.0885	14.3021	12.905	12.6234	12.9218	11.6073	11.5459	12.8435	13.0885	12.6027	13.4383	11.4818	13.2438	14.0014	12.1131	13.9385	11.3663	11.3443	13.7099	11.3332	12.7377	12.4435	12.5191	12.4742	12.9366	13.4767	12.5555	13.6439	12.5579	13.464	11.0901	13.2776	12.6751	12.605	12.3608
AL1A1	11.0014	10.9658	11.0154	11.5887	9.25267	12.3691	12.5911	10.5314	10.7895	12.577	12.6303	13.3718	15.2326	11.1737	14.0617	12.6773	11.7936	12.6926	13.1228	13.2061	13.6211	7.67243	11.2228	10.6439	8.67948	6.93074	10.4717	14.0951	13.1357	11.3498	12.0258	13.3304	13.4512	8.76155	13.0583	10.9586	10.4919	12.3191	13.7524	9.60918	10.2761	15.0951	10.973	7.82655	13.2076	14.0014	13.8337	10.3443	15.1596	9.69	16.92	10.6348	11.4357	11.6751
ANXA3	9.3015	8.23362	10.2877	9.91438	9.73978	8.67243	9.7211	9.49185	9.5411	10.1163	8.66178	11.7936	11.9549	10.1421	11.2761	10.42	8.44294	7.39232	9.37286	8.48382	10.4094	6.56986	8.89178	6.62059	8.87037	7.24793	10.2877	11.7356	11.3826	10.4305	10.8376	13.5018	12.5289	6.02525	9.43879	6.40066	5.17867	11.1293	10.5507	5.12439	11.3934	12.9385	10.3987	6.52042	9.11374	11.42	9.90238	9.7039	12.2935	9.03617	10.1033	8.99435	10.0634	10.0084
TCPA	9.82655	10.8218	11.584	9.90839	8.44294	8.74819	6.70044	4.03032	9.45943	9.13955	8.28077	7.84549	9.61839	8.32193	9.2503	7.47573	6.23093	10.5887	11.1923	7.76504	9.62571	7.39232	7.34873	10.5699	12.1768	5.50943	8.83605	7.91886	8.75489	8.47978	9.31061	10.9513	10.7649	7.09803	11.3106	8.00562	5.37737	6.66159	7.93074	11.4564	8.43879	11.3718	9.10066	8.74147	11.0498	9.0607	9.93958	8.98584	11.4818	11.043	10.3987	9.10329	9.26209	7.87652
EF1A1	10.7977	9.00562	9.27612	10.2046	5.97861	12.2819	11.9944	10.7895	9.29002	12.7875	11.5507	12.1799	14.0014	12.2318	13.5142	12.9476	11.1293	11.4041	10.6348	12.2497	11.5793	9.31515	9.86573	10.4409	5.12244	4.81843	9.98014	12.5793	12.7977	11.0701	12.5675	12.2438	12.1799	8.14975	12.3078	11.2107	9.77643	11.1861	12.5934	5.91454	9.46148	14.5018	8.07682	9.89178	12.4409	13.3021	13.863	10.2408	13.5142	8.77479	13.7936	9.07682	10.0768	10.3219
ACTN1	6.99757	8.90087	8.48382	7.33092	5.81032	9.31741	8.98014	9.7364	8.53528	8.35755	8.12928	10.42	8.90689	7.17991	8.29921	10.3106	8.2384	7.3837	10.2046	7	9.92333	8.02237	8.25739	8.40088	6.98868	8.96	8.52356	11.1293	9.46761	10.8297	9.19722	13.3581	9.67772	7.14975	8.75822	7.61471	6.49346	9.09011	8.85798	7.34873	11.4868	12.1768	8.60733	8.58871	7.44294	9.37069	9.52552	7.08313	10.9366	7.18982	6.87036	7.31288	9.46557	4.5269
HV323	9.64746	13.8918	13.4383	13.5981	11.446	12.6119	12.6484	12.0464	14.0447	13.0172	13.6991	12.4589	13.9106	13.5142	13.7936	12.2438	12.8178	13.5018	13.3304	12.4944	13.9106	12.989	13.6883	12.5507	12.6165	13.3853	12.6143	10.7649	13.8037	13.2659	12.1984	13.1228	13.1261	12.5483	13.9476	12.1737	11.3276	13.7936	12.464	12.8376	14.0189	14.3304	13.8533	13.5018	13.5864	13.3163	13.3443	14.0102	13.7207	12.3049	14.4956	13.5018	13.92	13.4512
LACRT	17.8175	17.0426	17.2604	17.6593	17.8423	16.183	17.1556	16.8238	16.92	18.3408	16.8727	16.9083	17.2787	17.8727	17.6168	16.0014	17.0426	17.8113	17.3145	17.1257	16.7731	17.4252	17.9488	17.0743	17.1457	17.2326	17.0532	16.624	17.6096	16.8606	16.8727	16.786	17.2232	17.3056	17.2696	17.4087	16.9316	17.9826	17.2042	17.4815	17.2326	17.1357	17.7005	17.2042	17.7731	17.4334	17.4334	17.5507	17.7537	17.5731	17.6024	17.714	17.3752	17.7602
ANX11	7.76155	8.25267	7.96578	7.03342	7.24793	7.87652	9.68124	7.83289	4.77461	8.67948	7.55459	9.98014	10.9293	8.49185	9.66356	6.48382	4.7003	8.47167	8.16992	8.98299	9.27612	5.30226	7.16558	6.89482	8.13955	6.50433	9.40727	9.41785	11.4767	8.8857	9.59246	10.6528	10.0498	5.68501	6.65821	5.46248	5.33222	9.61287	8.47978	5.58176	8.93958	13.0396	7.55459	5.52543	9.29462	10.3219	9.42626	7.06609	11.2467	6.2803	9.33316	4.97792	8.26679	8.87958
SMR3A	11.9106	13.8918	11.2586	12.2992	11.2761	15.0992	13.2877	14.8337	13.3304	12.6027	12.973	12.5746	11.1611	13.3853	13.9837	12.6234	15.0405	12.3304	10.7977	13.4512	13.8238	13.9658	12.4435	14.4512	11.6662	13.0396	14.3443	14.5387	12.2556	13.9926	10.8994	10.7977	11.1548	13.0583	12.6528	12.5555	14.7783	10.6795	13.7731	15.0058	14.0785	12.628	13.2046	13.6883	11.7228	10.9513	12.8669	11.6073	11.5362	12.1611	14.7987	13.2877	10.973	12.769
IL1RA	9.07414	7.63662	8.224	5.92237	6.56939	10.4094	9.41785	7.39232	8.94837	11.1799	7.04439	7.33092	11.1799	9.88111	8.65464	9.89178	7.50779	7.18982	8.19476	10.3987	11.4409	6.87036	5.50475	9.99435	5.55252	5.95233	8.633	11.1799	10.9658	8.73132	8.50779	9.31967	10.1923	5.34714	7.55459	7.7211	4.42488	8.633	8.24317	8.76155	7.93074	12.5216	9.33985	7.45121	10.1799	12.6165	11.4041	7.97728	12.0189	5.20519	10.0362	7.42626	7.79442	8.79116
HV301	6.0394	10.1033	6.00171	7.92481	6.63647	7.80735	5.04807	8.10329	9.0954	7.17874	11.0154	6.77782	8.71425	7.28417	9.37286	7.49985	9.24555	8.97441	8.30834	5.57604	9.42417	8.42626	8.71425	7.56986	8.63662	5.84847	5.39683	9.20945	6.49273	10.0084	8.78463	9.96578	7.65477	5.49021	10.4094	9.10852	7.04439	8.49185	6.47135	9.26913	9.12412	8.33985	8.77149	8.24793	8.56224	7.89265	8.92778	5.31845	8.43463	5.83695	10.7398	6.02237	9.19229	7.93074
CHID1	8.40514	9.31061	8.96	7.13563	10.2408	10.5887	8.2854	9.79279	10.1293	6.78544	10.1293	8.62205	9.29232	8.8392	6.9542	4.95667	9.45738	7.90689	6.08675	5.75949	8.86109	9.29462	8.96867	10.1293	9.2854	9.99435	10.0084	7.09803	7.85175	8.75822	6.42517	7.66534	7.10398	8.68299	8.12412	8.87652	10.2527	6.4595	9.49586	10.1163	8.49185	7.11894	8.41363	9.80735	6.87036	7.7879	9.62022	6.72959	7.17991	8.78463	9.00562	9.00282	9.1267	9.64386
A1AT	12.944	11.8455	11.2167	11.8572	7.40939	14.5387	15.2985	13.464	13.0102	15.1908	12.9531	14.5805	16.7207	11.5887	14.4956	17.4893	14.9293	12.5411	12.6528	11.5793	13.5018	10.7649	11.3772	13.5265	9.61287	11.8297	11.4717	13.5507	12.664	13.3163	14.6325	13.3987	15.3752	12.6303	12.7377	7.47573	13.4893	11.3387	13.9293	10.6883	11.5216	13.0851	11.7013	11.1357	11.9873	15.4448	12.4486	12.1228	12.9855	10.3987	13.1212	9.67243	12.4538	11.0634
ANGT	8.01681	6.17007	7.89482	10.1799	9.01959	9.7879	10.8057	9.48985	7.99435	12.1892	7.75489	8.33985	12.0901	10.5981	10.2992	14.997	10.6257	9.99435	11.2467	10.9944	10.2288	8.16491	9.2384	9.19722	9.40939	9.09011	9.3837	7.90087	8.31741	7.7211	10.8611	9.27612	10.4305	9.86264	9.65105	10.9658	8.96867	10.7056	9.0954	6.76818	8.72451	9.54496	9.35755	7.92481	10.6707	10.9873	9.56033	9.59991	10.5216	7.34873	8.66178	10.0084	9.63662	9.49386
MUC4	10.6439	9.31967	10.1163	10.8057	10.4409	9.71253	11.2992	7.67243	10.6257	10.0362	9.13186	10.4615	10.7814	9.79604	10.1923	9.69174	4.98317	10.3332	10.3663	9.5157	10.8138	9.03342	10.0362	8.73132	8.65821	9.98014	9.77314	10.5314	11.1033	9.09276	7.32035	11.9293	9.96578	8.97154	11.5068	9.17493	7.92481	11.3934	10.0084	8.78463	10.944	11.9106	10.1421	5.08382	11.6348	10.4717	10.7649	10.6618	10.697	10.6707	11.3554	10.5118	10.6073	9.76487
LMAN1	7.12254	10.9944	11.3608	10.1548	11.2877	10.9144	11.2228	11.4094	11.1799	10.8918	10.8918	11.3219	8.11374	11.1357	10.8994	9.19722	11.1799	11.1098	11.1357	10.5793	11.1357	11.3049	10.944	11.2228	10.7814	11.3718	11.0835	11.0634	10.2046	11.0498	10.7649	9.99435	9.39874	11.2228	11.0634	11.3498	11.5934	8.89178	11.0014	10.9873	10.8688	9.87037	11.3934	11.2586	9.44294	9.75489	10.6439	9.31967	7.47379	11.1421	10.0634	11.4094	10.8533	10.8297
IGKC	16.6096	18.4496	17.1155	17.714	16.1257	17.4656	17.4736	16.9431	18.1655	17.8846	17.8965	17.3408	17.4893	17.2604	18.2042	17.5356	17.3056	17.8667	17.68	17.1155	18.4933	17.6096	17.6662	17.6937	16.5805	17.1257	17.4815	17.5878	17.9373	17.9992	17.3056	18.2185	18.7987	16.9431	18.3277	16.6937	16.1984	17.6311	16.3632	17.4815	17.9024	18.3538	17.6869	17.5432	18.1307	17.9545	18.0638	17.9083	17.7923	16.8727	18.1704	17.2326	18.1898	17.2137
VCC1	9.44294	9.45327	10.9944	7.89482	11.2586	10.8138	9.58496	11.1421	9.05799	6.75085	10.2761	9.98014	6.01047	10.6528	7.76818	6.14496	8.18982	9.25739	9.60177	9.81858	6.42609	9.35315	10.3219	10.2877	10.8376	10.7566	10.2046	8.70044	8.81057	5.82482	7.2964	7.47369	6.7375	10.4919	5.84196	10.697	12.412	8.65464	9.96578	10.6439	8.93074	9.19967	9.13186	10.4717	9.33316	8.04439	7.40088	8.93369	7.78057	10.1421	9.33316	10.4818	7.93074	10.3772
PRDX1	11.2527	8.18982	7.50809	10.3554	4.8685	9.99435	9.10329	6.06043	8.35315	12.3443	10.3663	11.4147	13.7524	10.7977	12.9088	8.49985	7.48382	11.5068	10.9873	11.9181	11.6528	8.65464	9.35535	10.5507	7.99435	7.43463	7.93664	11.6119	11.3826	8.62571	11.1737	11.0701	12.7185	8.45121	10.5793	10.1923	7.48382	11.1293	11.6839	7.15987	7.13992	14.0951	5.87935	7.70044	12.4305	12.9144	12.5142	10.4717	13.6096	9.19229	12.5864	7.24793	7.71425	10.3219
B4GA1	6.71833	6.80735	8.42206	4.9329	8.91886	7.21917	8.37069	8.66889	8.49586	7.03311	8.48382	7.50779	7.67243	8.37938	7.02007	6.74147	5.28122	7.2854	7.48382	8.04985	8.13443	7.05528	7.6865	6.33086	8.88264	9.25267	9.40301	6.62644	7.93074	6.70044	8.87344	9.13955	7.91289	7.18982	8.2384	7.94837	7.06609	7.86419	9.28077	7.67948	9.13443	7.44294	8.3837	9.31288	7.72792	5.68484	8.0607	4.83499	6.9049	9.31288	8.35315	9.23601	8.69	8.67596
PODXL	6.55959	9.04985	8.03342	10.4615	8.44708	6.12834	7.89482	5.39877	10.1293	9.91737	10.2288	8.0607	6.66201	9.14975	10.1033	6.98543	5.85219	10.1548	10.1293	9.633	9.43045	8.21917	8.79442	9.71596	8.13955	9.2738	9.78953	8.57365	10.8376	9.24317	9.17742	10.1674	10.6257	8.51964	9.18488	6.3652	5.09223	7.8056	8.35315	9.98014	8.14975	10.7056	9.14975	10.3663	10.8376	9.50581	9.9542	10.1163	9.39446	4.02495	9.96578	8.57365	10.2167	8.7211
KALRN	10.973	9.98014	10.8533	6.13461	9.12928	9.51373	9.13699	9.46352	9.15228	6.09733	9.32418	9.13443	6.55203	4.85985	6.75096	8.75154	8.99152	8.84862	10.1674	10.0362	10.3987	8.95128	10.6528	9.93811	8.90689	8.85175	9.77972	7.77479	9.70217	9.04712	6.37105	10.5887	6.67049	10.3219	9.30378	5.92219	9.35315	8.3443	10.5887	10.3554	10.8842	9.63844	6.03346	10.3106	8.21917	7.06368	8.35315	5.76844	10.3106	10.5118	6.45002	5.85164	8.55842	7.32372
COCH	6.80222	8.04439	7.61471	8.19967	9.01402	9.36632	7.70736	9.27146	8.09276	8.25739	10.3106	8.31741	8.78136	6.80735	7.42626	7.19967	7.44294	7.88264	7.93074	7.67243	8.74483	7.88874	7.07682	7.9542	8.39232	5.86205	8.41363	8.90689	8.27612	8.35315	9.30834	10.9144	9.18488	7.18982	6.80735	7.17991	9.80574	7.93074	8.29921	7.46761	8.45121	9.55842	8.33092	8.22882	8.17991	7.50779	7.04439	6.78253	9.15228	8.79116	7.99435	8.40514	8.46352	6.72792
PPT1	9.65821	9.0634	9.20945	5.32973	8.71081	9.57365	8.61471	9.78627	8.61839	7.73471	9.80896	8.82018	9.07682	8.20945	8.94544	7.04439	8.81378	8.90989	9.22641	8.96	9.25739	8.92481	9.01681	9.16992	9.14975	8.56986	8.78463	8.65464	8.81057	9.13699	8.69349	8.48382	7.08674	9.45533	9.48985	8.35315	8.73471	8.07682	8.5812	9.25974	8.55075	7.58413	9.04166	11.2819	8.96867	9.9542	11.4868	9.34873	8.37938	8.48382	8.65821	9.00282	9.98014	9.96578
DHSO	5.88912	6.89901	5.26101	5.11746	6.53608	7.22882	7.61471	6.62936	6.33174	6.96578	7.22882	6.71425	9.99435	5.96455	9.73132	8.93664	6.53761	6.93074	7.35783	7.06609	6.50621	7.07682	5.55375	6.45121	6.58797	6.39403	6.84819	7.70736	7.33092	6.63372	6.37786	6.89482	9.04712	7.37504	7.59447	5.84153	7.17991	10.7731	6.96578	6.58496	6.78337	8.6865	6.54381	5.72404	6.62205	7.82655	7.76155	7.33985	7.60733	6.59544	7.78136	6.54866	5.31751	6.74433
GSTP1	12.2408	10.6795	12.0084	11.4919	8.24793	13.0293	12.3961	11.6027	11.3934	14.3021	13.5981	13.118	15.4318	13.0276	14.4704	13.1984	12.4742	13.3304	13.2303	13.7099	13.6773	11.1737	12.3191	12.1066	9.32868	9.61839	12.1421	14.5922	13.8727	13.1212	12.888	14.0189	13.7207	9.69	13.5627	12.4868	10.388	12.8514	13.279	8.85487	11.8455	15.9431	10.7814	11.6839	13.9658	15.1155	14.9476	11.8956	14.7628	11.2586	14.9926	10.3987	11.6839	12.6795
MOES	6.80441	9.04712	10.5411	6.04332	9.69697	12.0293	12.2761	12.0634	9.16491	8.66534	9.76984	11.6119	11.0835	10.3219	10.2167	11.2167	10.5018	9.79766	8.8857	9.99435	9.3966	9.64024	9.62022	10.3663	9.98014	10.6439	10.4409	10.5118	9.89936	10.1163	9.58684	12.5603	7.49185	9.14975	9.26679	9.55075	9.94837	8.65464	11.7313	9.56986	11.5068	11.2167	10.0362	9.40088	6.97117	8.03892	6.72792	7.6998	9.94691	10.8688	7.79442	10.6883	10.7142	10.1923
HNRPD	5.72667	6.96578	7.32193	9.23601	8.08215	6.91886	8.21432	8.65464	8.41363	8.76487	8.93369	8.07146	11.0014	9.82496	9.41574	6.02337	5.55125	8.08746	8.18488	8.17991	9.9629	7.59991	7.72792	9.19722	8.88874	9.26209	9.49386	6.35675	9.3443	7.24793	9.50581	9.67772	9.77643	6.73156	7.25739	6.17328	7.20945	9.5411	11.0293	7.45121	6.87578	11.6119	9.87191	7.8392	9.72962	10.3219	10.4919	7.20843	11.6883	7.42626	10.8533	6.7275	8.61102	7.64386
SLPI	10.9069	13.7936	15.2732	15.0014	15.0014	14.5922	14.9748	14.9385	14.7313	14.9153	14.6883	14.6325	15.0992	14.7987	15.5142	13.412	14.0189	14.1984	14.9246	15.1397	13.7628	13.5746	14.8337	14.0951	14.7987	14.6495	15.6883	13.2805	13.1309	14.365	15.9904	12.5387	15.6354	14.8533	14.6551	15.0319	14.5204	14.6096	14.3233	14.0276	14.7207	14.7576	15.1984	14.6269	15.4799	16.2118	14.2805	15.8287	14.5507	14.8386	14.997	15.4054	15.0617	15.0145
DAG1	10.8611	10.3106	10.8138	10.5793	11.1861	11.9766	10.8455	11.6119	10.5314	10.4717	11.7566	10.5603	10.4818	10.7731	10.8918	6.05699	10.5118	10.6795	11.043	11.2408	11.1611	11.1548	11.1861	11.0634	11.1033	10.9586	11.4357	10.4409	10.1548	11.3554	10.7649	11.0768	11.0901	11.2348	11.1984	11.0154	11.1357	9.99435	11.1611	10.9586	10.9586	10.6439	10.9293	11.4919	11.1033	11.0014	11.1228	11.0967	10.6883	11.1674	11.1033	11.1737	10.9366	11.4717
PRDX3	11.8416	11.7313	11.1357	12.6211	12.1485	11.8297	12.3247	11.6839	11.5981	12.7164	11.3163	12.0901	12.3163	12.9513	12.3987	10.7056	11.446	12.8975	12.5603	11.0084	10.6073	12.2228	12.5675	11.0293	11.6393	12.3663	10.6439	11.5167	12.4278	11.5555	10.944	10.7895	11.4357	11.8017	11.1923	11.5265	11.8057	12.8037	10.6528	11.5699	10.9513	10.9658	12.4843	10.9658	12.279	12.0049	11.9476	11.2586	11.6119	11.9403	12.3581	12.5675	12.0189	12.5579
PSA6	9.40088	9.65642	8.71768	9.37286	8.56605	10.8918	9.32868	9.16742	8.45943	10.3443	9.56224	11.0901	10.8688	8.11374	10.5411	10.3219	8.83289	9.90689	10.5018	10.0498	10.4409	8.49185	9.36194	8.86419	9.20212	8.65821	8.59619	11.2167	8.99435	9.70736	10.1674	9.61471	9.75989	9.39232	10.8376	8.52356	8.79766	10.3443	10.0901	9.20945	9.20945	11.7566	9.48382	9.38802	10.2167	9.70736	10.9801	8.74147	9.91289	9.24317	11.3718	9.20701	8.45533	8.89482
KV202	10.3987	9.43671	5.15088	9.9542	9	6.90754	3.70782	5.4487	9.26209	10.8218	9.04985	6.637	9.56033	9.87805	9.96578	9.14721	9.28771	9.7364	9.98014	9.31515	10.2167	9.56224	9.72451	6.6007	5.96647	5.20275	9.29692	7.86419	9.81218	9.64566	9.19967	9.67772	10.4717	4.06997	9.79116	9.42206	5.60947	11.9293	8.54689	8.0607	9.53528	10.944	9.94691	9.27146	10.5793	10.8842	7.16499	9.6987	8.29462	9.35975	9.64205	6.06448	9.5157	6.85549
ITIH4	9.8933	10.9513	9.45738	10.8138	8.19476	11.8765	12.5746	10.0634	10.944	12.7628	10.4512	11.933	14.5746	9.16992	11.9908	15.6579	12.1357	11.3163	10.0498	7.85798	10.7895	9.37938	8.85487	9.65821	9.37286	6.3837	8.90689	11.6751	10.2992	11.3332	11.8765	10.8138	12.4717	10.1421	11.0566	8.09276	10.3443	11.0566	9.42206	9.36851	8.40514	10.1923	10.6707	10.2992	10.5793	12.3106	10.6257	7.25739	10.0362	7.31757	10.9586	9.09011	11.3276	7.13955
PGK1	11.1548	9.75322	10.6707	10.1548	7.12928	12.6551	12.9961	10.9801	10.7814	13.3304	11.8494	13.1325	14.768	10.8918	13.9837	13.863	10.9069	11.0498	11.1611	12.1033	12.8899	8.91289	8.8857	10.697	8.16992	8.51964	9.83289	13.5387	12.9604	12.7056	13.8037	14.2586	13.6773	6.40088	12.5793	10.7142	10.1548	12.0967	12.6027	6.05909	11.7936	15.4576	10.1293	8.98014	12.865	14.4576	13.5142	11.0901	14.2137	8.33985	13.6883	8.32643	10.6528	10.8138
CPNS1	6.28642	7.83289	9.45943	7.84549	6.05303	9.85954	11.0014	6.88801	8.43879	10.6795	8.21432	11.3332	12.8198	11.0362	11.1737	10.3332	6.31533	9	9.24317	10.6165	11.0566	4.31035	7.30378	6.70044	7.59246	6.9542	8.86109	10.9513	11.6795	8.12928	9.61655	11.8218	10.6528	5.61203	9.44708	9.92778	6.79442	8.19967	11.6303	3.76397	9.37504	13.2482	7.74819	6.89482	10.6795	11.8611	12.0293	6.15009	12.2046	8.18488	11.6303	6.31958	8.22882	9.31061
ZN865	7.85798	9.87344	8.41363	8.12412	6.54067	8.92481	8.82018	6.42271	9.91139	8.69697	9.50383	6.65128	7.03323	7.72792	9.5216	8.80413	8.21917	9.36194	9.5216	5.99946	10.1033	8.7879	9.00562	8.75154	9.02791	8.68299	7.97728	8.84549	9.53138	9.41996	7.40939	10.5603	8.44708	6.51809	10.5507	6.30345	5.95133	7.72792	7.6562	8.33985	8.76487	8.31741	8.32193	8.62571	8.54689	6.88778	8.88264	5.58448	8.46352	5.45275	9.71081	8.57365	9.46148	7.10852
ANT3	10.8376	8.28077	8.46761	8.72451	6.12651	13.3853	13.8533	10.7313	11.1033	14.1752	10.5507	12.2644	15.049	9.98014	13.4512	15.691	12.7711	9.783	8.96578	9.00843	11.6303	8.90388	7.21034	11.8258	5.8212	8.18982	8.30834	11.1293	10.1799	12.2318	13.3304	10.9801	13.8435	9.85643	10.9658	4.76817	11.42	9.27845	11.9622	8.14975	8.87652	12.42	7.74819	6.89482	9.64386	13.5142	11.1228	8.68299	11.0967	5.64232	11.0701	5.82904	10.0362	7.8392
FIBG	10.9144	10.2527	9.93811	9.65285	8.02237	13.6991	14.2949	12.2258	11.9513	13.8727	10.2877	13.4512	15.4893	9.03617	13.4767	12.6143	13.863	10.1923	9.7879	7.62936	11.9476	9.30834	10.0901	13.1611	7.32193	8.38802	7.30378	11.3987	10.4717	13.1244	14.3163	12.0362	14.508	11.6027	11.8138	7.21917	12.7185	7	11.2819	10.3554	10.0084	11.7099	9.74315	10.7895	8.84549	13.9106	11.6839	6.89202	12.0327	6.2817	9.66356	7.76155	7.67243	7.90689
UBA1	7.56986	7.62936	8.87037	6.16836	6.30271	10.42	10.8994	9.79766	8.36632	9.98014	10.2527	10.8218	12.5043	10.0768	11.7607	11.3498	9.41785	6.39232	9.43045	9.11374	9.01402	8.05528	6.76868	8.76155	7.93074	8.59246	7.19949	11.3276	10.7142	9.98014	11.0293	11.0154	10.5314	8.47573	9.00843	8.224	9.3837	8.04985	11.4818	7.65105	7.18982	13.5018	7.27612	7.30378	8.94837	12.3359	11.5887	7.21373	11.3498	8.33092	11.2819	5.96459	7.04439	9.07682
PLTP	14.6154	14.0276	13.9926	14.1277	15.1397	14.2512	14.508	14.392	14.3092	14.4252	14.2659	14.392	14.2732	14.768	14.0785	13.0934	14.0014	14.3233	14.2512	13.9476	13.9926	14.6382	14.7576	14.0785	14.5387	14.4704	13.9476	13.9476	14.8037	13.8727	14.2288	13.9926	13.5507	14.8188	13.4383	14.4767	14.3373	14.7987	13.8337	14.3853	14.5864	14.2805	15.0785	14.508	14.5567	14.1277	14.7419	14.3233	14.183	14.9153	14.3021	14.9385	14.3853	14.7731
MYH14	8.3966	9.45943	9.83447	7.94251	6.0597	11.3106	8.76487	9.01681	9.58684	9.31288	9.47978	9.6865	12.7524	7.45121	10.7977	11.8688	8.62571	9.85798	9.28309	9.91886	10.3772	3.53394	5.71278	9.40939	6.64261	7.78136	8.3837	11.7649	11.6839	8.41363	9.98014	10.7142	8.18488	6.05734	9.84862	8	8.87037	7.47802	11.6119	6.2301	7.91289	14.2512	6.86491	8.52748	9.22159	11.9837	12.2198	8.55075	12.2348	9.23362	12.8317	8.19476	5.92555	7.93074
KV121	11.1098	11.2703	9.87344	11.4666	8.59991	10.5981	10.7313	10.1674	12.6904	11.9908	11.0084	10.3987	10.7482	10.3332	12.3359	10.2288	10.0498	10.5507	10.9944	10.5603	11.6662	10.0084	10.1421	10.8533	9.89785	10.5887	11.42	9.59433	10.9366	12.0464	11.1674	11.42	12.9088	9.4818	12.1611	9.35535	9.11114	10.9801	10.0224	10.2877	10.9366	11.7895	11.6393	10.3987	11.5068	11.4615	11.0154	11.3276	12.6234	9.98014	11.3387	10.7649	11.2644	10.6073
KV310	9.75656	11.0224	8.83289	9.56224	8.79766	9.52356	10.1421	8.71768	10.1548	10.6618	10.1293	9.79928	10.0498	10.0362	11.5265	9.14211	9.15482	10.6528	9.82655	9.55075	10.6707	9.77149	9.13443	10.2167	9.05528	9.86882	10.0768	10.5118	10.3772	10.1799	9.65821	11.2348	10.9658	9.55075	10.3772	8.92481	8.32193	10.1548	8.87652	9.13443	10.7228	10.7142	10.7482	9.08215	10.6257	10.5793	9.61102	9.79116	9.99435	9.04439	10.2167	9.99435	11.9694	9.36194
